﻿M2341-14_0_0_1,There is a lingering smell of white vinegar...,มีกลิ่นน้ำส้มสายชูขาวจางๆ ที่ไม่จางหายไป...
M2346-4_5_8_8,"In that case, let me go and see...",ถ้าอย่างนั้น ข้าจะไปดูเอง...
M2346-4_5_8_9,"""Eight thieves set up an ambush here, using all kinds of MachineryThrowing traps, full of deceit and tricks, which adds to my amusement.""","""พวกโจรทั้งแปดตั้งกับดักซุ่มรออยู่ ณ ที่แห่งนี้ วางกลไกล้างพรางและกับระเบิดสารพัดชนิด เต็มไปด้วยเล่ห์กลและมารยา ช่างน่าขบขันยิ่งนักที่พวกมันพยายามถึงเพียงนี้"""
M2346-4_5_8_10,"These are the words written by the great hero with his sword, right? It's really inspiring to read.",นี่คือตัวอักษรที่จอมยุทธ์ผู้ยิ่งใหญ่ใช้ดาบจารึกไว้สินะ? อ่านแล้วช่างสร้างแรงบันดาลใจจริงๆ
M2346-4_5_8_11,It also wrote how to open this iron gate...,และในจารึกยังบอกถึงวิธีเปิดประตูเหล็กบานนี้ไว้ด้วย...
M2346-4_5_8_12,What is written on the front?,มีอะไรจารึกอยู่ที่ด้านหน้าบ้าง?
M2346-4_5_8_13,"""Blood Rakshasa imprisoned the Eight Saints here.""",รากษสโลหิตได้จองจำเหล่าเซียนทั้งแปดไว้ในสถานที่แห่งนี้
M2346-4_5_8_14,"What? This can't be Blood Rakshasa's delusion, can it?",อะไรนะ? นี่คงไม่ใช่มายาภาพที่รากษสโลหิตสร้างขึ้นมาหลอกกระมัง?
M2346-4_5_8_15,"Or is this his previous plan, written in advance to deter the Eight Saints? Like ""Pang Juan died under this tree"" and so on.",หรือนี่จะเป็นกลอุบายที่มันวางแผนไว้แต่แรก จารึกทิ้งไว้เพื่อหลอกล่อแปดเซียน? ก็เหมือนกับกลศึกในตำนาน 'ปังจวนตายใต้ต้นไม้นี้' นั่นแหละ
M2346-4_5_8_16,But now it seems a bit like a comedy...,แต่ตอนนี้มันกลับดูเหมือนละครตลกไปซะแล้ว...
M2346-4_6_1_1,I remember you... How did you end up getting caught here?,ข้าจำเจ้าได้... เจ้ามาติดอยู่ที่นี่ได้อย่างไรกัน?
M2346-4_6_1_2,"Ah, don't mention it. I, Shi Heng, have fallen into this situation, and even ended up in the same cage with the likes of Pan Qing, Rotten Wood, and Empty Eaves, it's a great shame!",อา อย่าได้พูดถึงมันเลย ข้า ซือเหิง จำต้องมาตกอยู่ในสภาพอัปยศเช่นนี้ แถมยังต้องมาร่วมกรงกับพวกต่ำศักดิ์อย่างผานชิง ไม้ผุ และชายคาว่างเปล่า ช่างน่าอัปยศอดสูเสียจริง!
M2346-4_6_1_3,"Please, brother, go to the back of that stele and see how to open the iron gate!",ได้โปรดเถิด น้องชาย รีบไปดูที่ด้านหลังศิลาจารึกนั่นที อาจมีวิธีเปิดประตูเหล็กนี้เขียนไว้!
M2346-4_6_2_1,"Brother Shi, didn't you say you were here to guard these three people? How did you all get caught?",พี่ซือ ไม่ใช่หรือที่พี่บอกว่ามาคุมตัวคนทั้งสามนี่อยู่? แล้วทำไมถึงได้พากันมาติดกับอยู่ที่นี่กันหมด?
M2346-4_6_2_2,"Brother, let's talk about it later, please go to the back of the stele to see how to open the iron gate first!",น้องชาย เรื่องอื่นรอไว้ก่อน! ขอร้องละ รีบไปดูที่ด้านหลังศิลาจารึกเถิด หาวิธีเปิดประตูเหล็กนี่ก่อนเป็นเรื่องสำคัญที่สุด!
M2346-4_6_2_3,The back of the stele? Let me go and see.,ด้านหลังศิลาจารึกหรือ? เดี๋ยวข้าจะไปดู
M2346-4_6_2_4,"""Eight thieves set an ambush here, with countless MachineryThrowing traps and numerous tricks, adding to my amusement.""","""โจรแปดคนวางกลอุบายไว้ ณ ที่นี้ พร้อมกับกลไกกับดักนับไม่ถ้วน และเล่ห์เหลี่ยมมากมาย ช่างเพิ่มความสนุกสนานให้ข้าเสียจริง"""
M2346-4_6_2_5,"These must be the words written by the great hero with his sword, right? Just reciting them can stir up a heroic spirit.",นี่ต้องเป็นตัวอักษรที่จอมยุทธ์ผู้ยิ่งใหญ่ใช้กระบี่วาดไว้อย่างแน่นอน ใช่หรือไม่? แค่ได้ยินคำเหล่านี้ก็ทำให้จิตวิญญาณนักรบในใจลุกโชนขึ้นมาแล้ว
M2346-4_6_2_6,It also wrote how to open this iron gate...,และที่นี่ก็ยังจารึกวิธีเปิดประตูเหล็กนี้ไว้ด้วย...
M2346-4_6_2_6a,You followed the instructions on the stele and used the Machinery to open the door.,ท่านทำตามคำแนะนำที่จารึกไว้บนศิลา ใช้กลไกเปิดประตูออก
M2346-4_6_2_7,What is written on the front?,แล้วที่ด้านหน้าจารึกว่าอย่างไร?
M2346-4_6_2_8,"""Blood Rakshasa imprisoned the Eight Saints here.""","""รากษสโลหิตขังแปดเซียนไว้ ณ ที่นี้"""
M2346-4_6_2_9,Blood Rakshasa! I actually found his name here! Penglai Sect... what's their relationship with him?,รากษสโลหิต! ไม่น่าเชื่อว่าข้าจะพบชื่อของมันที่นี่! สำนักเผิงไหล... พวกเขากับมันมีเรื่องราวอะไรกันแน่?
M2346-4_6_2_10,"""Blood Rakshasa imprisoned the eight saints here..."" Is this his plan? Or is it written in advance to intimidate the eight saints? Like ""Pang Juan died under this tree"" and so on.","""รากษสโลหิตขังแปดเซียนไว้ ณ ที่นี้..."" จะเป็นไปได้หรือไม่ว่านี่คือแผนการของมัน? หรือบางทีมันอาจจารึกไว้ก่อนเพื่อทำลายขวัญแปดเซียน? คล้ายกับกลอุบายที่จารึก ""ผังเจวียนตายใต้ต้นไม้นี้"" นั่นเอง"
M2346-4_6_2_11,"No matter what his purpose is, I have finally found the side he has been trying to hide!",ไม่ว่ามันจะมีจุดประสงค์อะไร ในที่สุดข้าก็พบด้านที่มันพยายามปกปิดมาตลอดเสียที!
M2346-4_7_1_1,"Brother, you really have a good skill, I'm amazed!",น้องชาย ฝีมือท่านยอดเยี่ยมจริงๆ ข้าทึ่งมากเลย!
M2346-4_7_1_2,"Thanks to your skills, brother, otherwise I, Shi Heng, would really fall here...",ขอบคุณในวิชาความสามารถของน้องชาย มิเช่นนั้นข้า ซือเหิง คงต้องพบจุดจบที่นี่อย่างแน่แท้...
M2346-4_7_2_1,"I remember the ship sank, it's good that you guys are okay, but how did you get here, Brother Shi?",ข้าจำได้ว่าเรือล่มลง ดีใจที่พวกท่านปลอดภัยกันทุกคน แต่พี่ซือมาถึงที่นี่ได้อย่างไรกัน?
M2346-4_7_2_2,"When the ship sank, I quickly found a plank and swam to the nearest island with it.",ตอนเรือล่ม ข้ารีบคว้าแผ่นกระดานได้แผ่นหนึ่ง แล้วใช้มันว่ายน้ำไปยังเกาะที่อยู่ใกล้ที่สุด
M2346-4_7_2_3,I landed on the island from the north side.,ข้าขึ้นฝั่งที่ด้านเหนือของเกาะ
M2346-4_7_2_4,"North side? I landed from the south side, we landed in completely different places...",ด้านเหนือหรือ? ข้าขึ้นฝั่งทางด้านใต้นะ พวกเราขึ้นฝั่งคนละที่กันเลยสินะ...
M2346-4_7_2_5,What did you see on the north side of the island?,"""ท่านเห็นอะไรบ้างที่ด้านเหนือของเกาะหรือ?"
M2346-4_7_2_6,"The north side of the island is just forest and mountains, at first I thought I landed on the wrong island, until I saw Pan Qing, Rotten Wood, and Empty Eaves. They also landed from the north side.",ทางเหนือของเกาะมีแต่ป่าและภูเขา ตอนแรกข้าก็นึกว่าตนเองมาขึ้นผิดเกาะเสียอีก จนกระทั่งได้พบกับผานชิง ไม้ผุ และเอ้อหลานเยี่ย พวกเขาก็ขึ้นฝั่งมาจากทางเหนือเช่นกัน
M2346-4_7_2_7,I overheard their names.,ข้าแอบได้ยินชื่อของพวกเขา
M2346-4_7_2_8,"I wanted to go up and say hello, but seeing their suspicious behavior, I didn't show up and followed them all the time.",ข้าอยากจะเข้าไปทักทาย แต่เมื่อเห็นพฤติกรรมน่าสงสัยของพวกเขา ข้าจึงไม่แสดงตัว และคอยแอบติดตามพวกเขาตลอดเวลา
M2346-4_7_2_9,So they were the culprits who blew up the ship!,อ้อ! พวกมันนี่เองที่เป็นคนวางระเบิดเรือ!
M2346-4_7_2_10,"What happened next, how did you get caught with them?",แล้วเกิดอะไรขึ้นต่อ พวกเขาจับตัวท่านได้อย่างไร?
M2346-4_7_2_11,"After these three people landed on the island, they wandered around like headless flies, and ended up in a deep valley. There were a lot of corpses in the valley, the scene was really horrifying.",หลังจากขึ้นฝั่งได้ คนทั้งสามก็เดินวนเวียนไปมาอย่างไร้จุดหมาย ราวกับแมลงวันที่ถูกตัดหัว สุดท้ายก็พาตัวเองเข้าไปในหุบเขาลึก ที่นั่น... เต็มไปด้วยซากศพนับไม่ถ้วน ภาพที่ได้เห็นมันช่างน่าสยดสยองเกินจะบรรยาย
M2346-4_7_2_12,"Pan Qing was so scared that he wet his pants, crawling around and screaming, attracting the villains here.",ผานชิงตกใจจนฉี่ราด คลานไปมาพลางกรีดร้องเสียงหลง จนเป็นเหตุให้พวกวายร้ายพากันมาที่นี่
M2346-4_7_2_13,I want to go home...,ข้า...อยากกลับบ้าน...
M2346-4_7_3_1,(A lot of corpses? So the method of cleaning up the battlefield is to throw all the corpses down the valley?),(ศพมากมายในหุบเขา... น่าจะเข้าใจแล้ว นี่คงเป็นวิธีที่พวกเขาจัดการทำความสะอาดสนามรบสินะ โยนศพทั้งหมดทิ้งลงหุบเขาให้พ้นๆ)
M2346-4_7_4_1,"So it is, Brother Shi, let me tell you, this is Penglai Island. If you land from the south, you will be greeted by the people of Penglai Sect, who will guide you to Penglai Sect.",ถูกต้องแล้วขอรับ พี่สือ ข้าจะบอกความจริงให้ท่านรู้ ที่นี่คือเกาะเผิงไหล ตามธรรมเนียมแล้ว ผู้ที่เดินทางมาทางทิศใต้ของเกาะจะได้รับการต้อนรับจากศิษย์สำนักเผิงไหล พวกเขาจะนำทางท่านไปยังสำนักอย่างปลอดภัย
M2346-4_7_4_2,What a twist of fate...,ช่างเล่นตลกเสียจริง... โชคชะตานี่..
M2346-4_7_4_3,But the people who captured you are also from Penglai Sect.,แต่คนที่จับกุมพวกเจ้าก็เป็นคนจากสำนักเผิงไหลเช่นกัน
M2346-4_7_4_4,Are these people who can be seen as The Devil at a glance from Penglai Sect?,พวกคนที่ดูเหมือนปีศาจตั้งแต่แรกเห็นพวกนี้... เป็นคนของสำนักเผิงไหลงั้นรึ?
M2346-4_7_4_5,"I suggest you don't go to any damn conference, this Penglai Sect is very suspicious, there might be a bloodbath.",ฟังข้านะ อย่าไปงานประชุมบ้าๆ นั่นเลย สำนักเผิงไหลนี่มันมีเลศนัยบางอย่าง... ข้าเกรงว่าจะต้องมีการนองเลือดเกิดขึ้นแน่
M2346-4_7_4_6,"But this place is also not safe, people from Penglai Sect may come back at any time...",แต่อยู่ที่นี่ก็ไม่ปลอดภัยหรอก... พวกสำนักเผิงไหลอาจจะย้อนกลับมาเมื่อไรก็ได้ทั้งนั้น
M2346-4_7_4_7,There are also quite a few people patrolling in the woods...,ในป่านั่นก็มีคนเดินลาดตระเวนอยู่เยอะทีเดียว... 
M2346-4_7_4_8,"Uh, I can't take care of you now, anyway, do as you please. Just keep these three ship-blowing people here. Try to find a place to hide, it's best to find a way to get away from Penglai Island.",อืม... ตอนนี้ข้าคงช่วยอะไรพวกท่านไม่ได้มากแล้ว ทำตามที่เห็นควรเถอะ แต่ขอแค่ช่วยเฝ้าสามคนที่ทำลายเรือนั่นไว้ให้ดี แล้วก็รีบหาที่หลบซ่อนตัวด้วย ถ้าทำได้... ทางที่ดีที่สุดคือหาทางหนีออกจากเกาะเผิงไหลนี่ไปเลย
M2346-4_7_4_9,"Then I'll find a place where I can see the entrance of the Mountain cave to hide. When you're done, call me out.",งั้นข้าจะไปหาที่ซ่อนตัวตรงจุดที่มองเห็นปากถ้ำได้ เมื่อไหร่ที่พวกเจ้าเสร็จธุระแล้ว ก็เรียกข้าออกมา
M2346-4_7_4_10,Please spare my life...,ได้โปรดไว้ชีวิตข้าด้วย...
M2346-4_7_4_11,"Speaking of this, I'm angry, these three people actually made me drink a belly full of seawater!",พูดถึงเรื่องนี้แล้วข้าก็โมโห ไอ้พวกสามคนนั่นมันทำให้ข้าต้องกินน้ำทะเลเข้าไปจนท้องกางเชียวนะ!
M2346-4_7_5_1,"Brother Shi, didn't you say you were going to watch these three people? How come you all got locked up together.",พี่สือ ก็ท่านบอกเองนี่ว่าจะคอยเฝ้าพวกสามคนนี้ไว้... แล้วนี่มันเกิดอะไรขึ้น ถึงได้มาติดอยู่ในกรงเดียวกันแบบนี้?
M2346-4_7_5_2,"It's a shame, I, Shi Heng, have failed your trust, I didn't watch them, and they ran away.",น่าละอายนัก ข้า สือเหิง ทำให้ความไว้วางใจของท่านต้องสูญเปล่า ข้าดูแลพวกมันไม่ดี จนพวกมันหนีไปได้
M2346-4_7_5_3,"They panicked and ran into the dense forest, I followed them. As a result, those people saw us, they were many and powerful, and I and those three were captured together.",พวกมันตื่นตระหนกวิ่งเข้าไปในป่าทึบ ข้าก็ไล่ตามไป สุดท้ายพวกนั้นก็เห็นพวกเรา พวกมันมีคนมากและแข็งแกร่งเกินต้าน ข้าเลยถูกจับพร้อมกับคนทั้งสามนั่น
M2346-4_7_5_4,"It's not your fault, Brother Shi, don't take it to heart, who could have thought that there are so many forbidden areas on Penglai Island.",อย่าโทษตัวเองไปเลย พี่สือ มันไม่ใช่ความผิดของท่านสักหน่อย ใครจะไปคาดคิดล่ะว่าเกาะเผิงไหลนี้จะมีเขตต้องห้ามอยู่มากมายขนาดนี้
M2346-4_7_5_5,"Actually, the people who captured you are also from Penglai Sect.",ที่จริงแล้ว คนที่จับพวกท่านไปก็เป็นคนจากสำนักเผิงไหลนั่นแหละ
M2346-4_7_5_6,"These people who can be recognized as The Devil at a glance are from Penglai Sect? I thought they were enemies of Penglai Sect, or nearby Pirates...",พวกที่ดูเหมือนพวกมารร้ายแต่แรกเห็นพวกนี้ เป็นคนจากสำนักเผิงไหลงั้นรึ? ข้านึกว่าเป็นศัตรูของสำนักเผิงไหล หรือไม่ก็พวกโจรสลัดแถวนี้เสียอีก...
M2346-4_7_5_7,"I suggest you not to participate in any damn conference, this whole Penglai Sect is very evil, I guess there will be a disaster.",ข้าแนะนำจริงๆ ว่าอย่าไปข้องเกี่ยวกับการประชุมบ้าๆ บอๆ นั่นเลย สำนักเผิงไหลทั้งสำนักมันเน่าถึงแก่นแล้ว ข้าสังหรณ์ใจว่าต้องเกิดเรื่องใหญ่แน่ๆ
M2346-4_7_5_8,"But this place is also not safe, people from Penglai Sect may come back at any time...",แต่อยู่ที่นี่ก็ไม่ปลอดภัยหรอก... พวกสำนักเผิงไหลอาจจะย้อนกลับมาเมื่อไรก็ได้ทั้งนั้น
M2346-4_7_5_9,There are also quite a few people patrolling in the woods...,ในป่านั่นก็มีคนเดินลาดตระเวนอยู่เยอะทีเดียว... 
M2346-4_7_5_10,"Uh, I can't take care of you now, anyway, do as you please. Just keep these three ship-blowing people here. Try to find a place to hide, if possible, it's best to find a way to get away from Penglai Island.",อืม... ตอนนี้ข้าคงช่วยอะไรพวกท่านไม่ได้มากแล้ว ทำตามที่เห็นควรเถอะ แต่ขอแค่ช่วยเฝ้าสามคนที่ทำลายเรือนั่นไว้ให้ดี แล้วก็รีบหาที่หลบซ่อนตัวด้วย ถ้าทำได้... ทางที่ดีที่สุดคือหาทางหนีออกจากเกาะเผิงไหลนี่ไปเลย
M2346-4_7_5_11,"Then I'll find a place where I can see the entrance of the Mountain cave to hide. When you're done, call me out.",งั้นข้าจะไปหาที่ซ่อนตัวตรงจุดที่มองเห็นปากถ้ำได้ เมื่อไหร่ที่พวกเจ้าเสร็จธุระแล้ว ก็เรียกข้าออกมา
M2346-4_7_5_12,Please spare my life...,ได้โปรดไว้ชีวิตข้าด้วย...
M2346-5_0_1,"Hero, I know I was wrong, let me go home...",ท่านจอมยุทธ์ ข้าน้อยรู้แล้วว่าตัวเองผิด ได้โปรดปล่อยให้ข้าน้อยกลับบ้านเถิด...
M2346-5_0_2,"With your act of sinking the ship, don't expect me to let you go!",ด้วยการกระทำที่เจ้าวางระเบิดเรือให้จมเช่นนี้ เจ้าอย่าได้หวังเลยว่าข้าจะปล่อยเจ้าไป
M2346-5_1_1,This place is quite suitable for you.,ที่นี่มันเหมาะกับคนอย่างพวกเจ้าแล้ว
M2346-5_1_2,"After I finish my business, I will consider taking you back to the Central Plains, but if you dare to step out of this prison, I will dismantle your wheel, understand?",หลังจากข้าจัดการธุระเสร็จสิ้น ข้าจะพิจารณาพาเจ้ากลับสู่จงหยวน แต่หากเจ้ากล้าย่างกรายออกจากคุกนี้ ข้าจะทำลายวรยุทธ์ของเจ้าให้สิ้นซาก เข้าใจหรือไม่?
M2346-5_1_3,……,……
M2346-5_2_1,"You'd better not have any crooked ideas, just stay here.",เจ้าอย่าได้คิดทำการใดที่ไม่ซื่อตรง จงอยู่ที่นี่อย่างสงบ
M2346-5_2_2,"After I finish my business, I will consider taking you back to the Central Plains, but if you dare to step out of this prison, I will make you crawl for the rest of your life!",หลังจากข้าจัดการธุระเสร็จสิ้น ข้าจะพิจารณาพาเจ้ากลับสู่จงหยวน แต่หากเจ้ากล้าย่างกรายออกจากคุกนี้ ข้าจะทำให้เจ้าต้องคลานไปตลอดชีวิต!
M2346-5_2_3,……,……
M2346-5_3_2_1,Aren't you a fellow senior brother of the Sword Pavilion? How come you are also locked up?,ท่านมิใช่ศิษย์พี่ร่วมสำนักศาลากระบี่หลางหยาหรอกหรือ? เหตุใดจึงถูกจองจำอยู่ที่นี่ด้วยเล่า?
M2346-5_3_2_2,"Senior brother, are you okay?",ศิษย์พี่ ท่านไม่เป็นไรกระมัง?
M2346-5_3_3_1,Aren't you a disciple of the Sword Pavilion? How come you are also locked up?,เจ้าก็เป็นศิษย์สำนักศาลากระบี่หลางหยากระบี่มิใช่หรือ? เหตุใดจึงถูกขังอยู่ที่นี่เช่นกัน?
M2346-5_3_3_2,"Brother, are you okay? How come you are here?",พี่ชาย ท่านไม่เป็นไรนะ? เหตุใดท่านจึงมาอยู่ที่นี่?
M2346-5_3_3_3,I...,ข้า...
M2346-5_3_3_4,"Tell the master, the Golden Basin Hand Washing Conference is a conspiracy! Penglai Sect is also fake!",บอกท่านอาจารย์ที งานชุมนุมล้างมือในอ่างทองคำเป็นแผนร้าย! สำนักเผิงไหลก็เป็นของปลอม!
M2346-5_3_3_5,"I... I, I was kidnapped when they sent the invitation...","ข้า... ข้า, ข้าถูกลักพาตัวไปตอนที่พวกเขาส่งเทียบเชิญ..."
M2346-5_3_4_1,I... I was too...,ข้า... ข้าก็ด้วย...
M2346-5_3_4_2,"I heard them say, I was captured to be used as a hostage to threaten the master... but I don't know more.",ข้าได้ยินพวกเขาพูดว่า ข้าถูกจับตัวมาเพื่อใช้เป็นตัวประกันคุกคามท่านอาจารย์... แต่ข้าไม่รู้อะไรมากกว่านี้แล้ว...
M2346-5_3_5_1,"I heard them say, I was taken as a hostage to threaten the master...",ข้าได้ยินพวกเขาพูดว่า ข้าถูกจับมาเป็นตัวประกันเพื่อข่มขู่ท่านอาจารย์...
M2346-5_3_5_2,"There used to be a man locked up here, he claimed to be the real Sect Leader of Penglai Sect, Shen Yuqiu... but he was taken away a long time ago, no one knows where he went...",เคยมีชายคนหนึ่งถูกขังอยู่ที่นี่ เขาอ้างว่าตัวเองคือประมุขที่แท้จริงของสำนักเผิงไหล เสิ่นอวี๋ชิว... แต่เขาถูกพาตัวไปนานแล้ว ไม่มีใครรู้ว่าเขาไปที่ไหน...
M2346-5_3_5_3,"Sect Leader Shen said that their sect has been annihilated by the Blood Rakshasa, and the so-called ""Penglai Sect"" now is just a false name used by a group of villains.","ท่านเจ้าสำนักเสิ่นบอกว่า สำนักของพวกเขาถูกรากษสโลหิตทำลายจนย่อยยับไปแล้ว และ ""สำนักเผิงไหล"" ที่มีอยู่ตอนนี้ เป็นเพียงชื่อปลอมที่พวกคนชั่วนำมาใช้เท่านั้น..."
M2346-5_3_5_4,"Their goal is to deceive the Eight Saints onto the island by using the friendship between Sect Leader Shen and the Eight Saints, as well as the temptation of the unparalleled Martial Arts, Buddhism and Taoism, to carry out their revenge...",เป้าหมายของพวกมันคือการหลอกล่อแปดเซียนให้มาที่เกาะ โดยใช้มิตรภาพระหว่างท่านเจ้าสำนักเสิ่นกับแปดเซียน รวมถึงใช้ความเย้ายวนของวิชายุทธ์ พุทธ และเต๋าอันล้ำเลิศ เพื่อที่จะได้แก้แค้น...
M2346-5_3_5_5,Quickly inform the Sect Leader!,ต้องรีบแจ้งท่านเจ้าสำนักโดยด่วน!
M2346-5_3_5_6,"Don't worry, before going to the island, the Blood Rakshasa has already been exposed. Now the Sect Leaders are prepared when they go to the island.",ไม่ต้องกังวล ก่อนที่จะไปที่เกาะ รากษสโลหิตได้ถูกเปิดโปงแล้ว ตอนนี้พวกท่านเจ้าสำนักต่างก็เตรียมพร้อมแล้วเมื่อต้องไปที่เกาะ
M2346-5_3_5_7,That's good...,ดีแล้ว...
M2346-5_3_5_8,Where is Sect Leader Shen? Where did he go?,เรื่องที่ท่านเจ้าสำนักเสิ่นหายไปนั้น... ไม่มีใครทราบว่าท่านถูกพาตัวไปที่ไหน คงต้องสืบสวนต่อไปเพื่อหาร่องรอยของท่าน...
M2346-5_3_5_9,"Sect Leader Shen was taken away a few shichen ago, I'm afraid his situation is more dangerous than safe now...",ท่านเจ้าสำนักเสิ่นถูกพาตัวไปเมื่อไม่กี่ยามที่ผ่านมา... ข้ากลัวว่าตอนนี้สถานการณ์ของท่านคงจะอันตรายมากกว่าปลอดภัยเสียแล้ว...
M2346-5_3_5_10,This is unbelievable...,ช่างเป็นเรื่องที่เหลือเชื่อจริงๆ...
M2346-5_3_5_11,"Hold on, I'll have Brother Shi Heng take you to a safe place to heal your wounds. Once it's safe here, I'll come find you.",ข้าเข้าใจแล้ว... ให้ศิษย์พี่สือเหิงพาข้าไปรักษาบาดแผลในที่ปลอดภัยก่อน เมื่อที่นี่สงบลงแล้วท่านค่อยตามมาหาข้า
M2346-5_4_2_1,Aren't you a fellow senior brother of the Taoist Sect? How did you end up locked up here too?,ข้าก็เป็นศิษย์พี่ร่วมสำนักเต๋าเช่นเดียวกับเจ้า... แต่เหตุใดข้าจึงถูกจับมาขังอยู่ที่นี่เช่นกัน? เรื่องนี้ช่างน่าประหลาดนัก...
M2346-5_4_2_2,"Senior brother, are you okay?",ศิษย์พี่ ท่านไม่เป็นไรกระมัง?
M2346-5_4_3_1,Aren't you a disciple of the Taoist Sect? How did you end up locked up here too?,ท่านก็เป็นศิษย์สำนักเต๋าหรือ? แล้วเหตุใดจึงมาถูกจองจำอยู่ที่นี่ด้วยเล่า?
M2346-5_4_3_2,"Taoist priest, are you okay? How did you end up here?",ท่านนักพรต ท่านสบายดีหรือไม่? ท่านมาอยู่ที่นี่ได้อย่างไร?
M2346-5_4_3_3,I...,ข้า...
M2346-5_4_3_4,"Tell the master, the Golden Basin Hand Washing Conference is a conspiracy! Penglai Sect is also fake!",บอกท่านอาจารย์ที งานชุมนุมล้างมือในอ่างทองคำเป็นแผนร้าย! สำนักเผิงไหลก็เป็นของปลอม!
M2346-5_4_3_5,"I... I, I was kidnapped when they sent the invitation...","ข้า... ข้า, ข้าถูกลักพาตัวไปตอนที่พวกเขาส่งเทียบเชิญ..."
M2346-5_4_4_1,I... I was too...,ข้า... ข้าก็ด้วย...
M2346-5_4_4_2,"I heard them say, I was captured to be used as a hostage to threaten the master... but I don't know more.",ข้าได้ยินพวกเขาพูดว่า ข้าถูกจับตัวมาเพื่อใช้เป็นตัวประกันคุกคามท่านอาจารย์... แต่ข้าไม่รู้อะไรมากกว่านี้แล้ว...
M2346-5_4_5_1,"I heard them say, I was taken as a hostage to threaten the master...",ข้าได้ยินพวกเขาพูดว่า ข้าถูกจับมาเป็นตัวประกันเพื่อข่มขู่ท่านอาจารย์...
M2346-5_4_6_1,"There used to be a man locked up here, he claimed to be the real Sect Leader of Penglai Sect, Shen Yuqiu... but he was taken away a long time ago, no one knows where he went...",เคยมีชายคนหนึ่งถูกขังอยู่ที่นี่ เขาอ้างว่าตัวเองคือประมุขที่แท้จริงของสำนักเผิงไหล เสิ่นอวี๋ชิว... แต่เขาถูกพาตัวไปนานแล้ว ไม่มีใครรู้ว่าเขาไปที่ไหน...
M2346-5_4_6_2,"Sect Leader Shen said that their sect has been annihilated by the Blood Rakshasa, and the so-called ""Penglai Sect"" now is just a false name used by a group of villains.","ท่านเจ้าสำนักเสิ่นบอกว่า สำนักของพวกเขาถูกรากษสโลหิตทำลายจนย่อยยับไปแล้ว และ ""สำนักเผิงไหล"" ที่มีอยู่ตอนนี้ เป็นเพียงชื่อปลอมที่พวกคนชั่วนำมาใช้เท่านั้น..."
M2346-5_4_6_3,"Their goal is to deceive the Eight Saints onto the island by using the friendship between Sect Leader Shen and the Eight Saints, as well as the temptation of the unparalleled Martial Arts, Buddhism and Taoism, to carry out their revenge...",เป้าหมายของพวกมันคือการหลอกล่อแปดเซียนให้มาที่เกาะ โดยใช้มิตรภาพระหว่างท่านเจ้าสำนักเสิ่นกับแปดเซียน รวมถึงใช้ความเย้ายวนของวิชายุทธ์ พุทธ และเต๋าอันล้ำเลิศ เพื่อที่จะได้แก้แค้น...
M2346-5_4_6_4,Quickly inform Sect Leader Zhong Yangzi!,รีบไปแจ้งท่านเจ้าสำนักฉงหยางสื่อเร็วเข้า!
M2346-5_4_6_5,"Don't worry, before going to the island, the Blood Rakshasa has already been exposed. Now the Sect Leaders are prepared when they go to the island.",ไม่ต้องกังวล ก่อนที่จะไปที่เกาะ รากษสโลหิตได้ถูกเปิดโปงแล้ว ตอนนี้พวกท่านเจ้าสำนักต่างก็เตรียมพร้อมแล้วเมื่อต้องไปที่เกาะ
M2346-5_4_6_6,That's good...,ดีแล้ว...
M2346-5_4_6_7,Where is Sect Leader Shen? Where did he go?,เรื่องที่ท่านเจ้าสำนักเสิ่นหายไปนั้น... ไม่มีใครทราบว่าท่านถูกพาตัวไปที่ไหน คงต้องสืบสวนต่อไปเพื่อหาร่องรอยของท่าน...
M2346-5_4_6_8,"Sect Leader Shen was taken away a few shichen ago, I'm afraid his situation is more dangerous than safe now...",ท่านเจ้าสำนักเสิ่นถูกพาตัวไปเมื่อไม่กี่ยามที่ผ่านมา... ข้ากลัวว่าตอนนี้สถานการณ์ของท่านคงจะอันตรายมากกว่าปลอดภัยเสียแล้ว...
M2346-5_4_6_9,This is unbelievable...,ช่างเป็นเรื่องที่เหลือเชื่อจริงๆ...
M2346-5_4_6_10,"Hold on, I'll have Brother Shi Heng take you to a safe place to heal your wounds. Once it's safe here, I'll come find you.",ข้าเข้าใจแล้ว... ให้ศิษย์พี่สือเหิงพาข้าไปรักษาบาดแผลในที่ปลอดภัยก่อน เมื่อที่นี่สงบลงแล้วท่านค่อยตามมาหาข้า
M2346-5_5_2_1,"Brother Zhu, Brother Zhu Huaiguang, listen to me...","ศิษย์พี่จู, ศิษย์พี่จูไหว่กวง, ฟังข้า..."
M2346-5_5_3_1,"(Upon closer inspection, isn't this person Zhu Huaiguang who went to the Sword Pavilion to deliver the invitation?)",(เมื่อมองดูใกล้ๆ นี่มันจูไหว่กวงคนที่ไปส่งเทียบเชิญที่ศาลากระบี่หลางหยาไม่ใช่หรือ?)
M2346-5_5_4_1,"(They are fiercely blaming, defending, swearing, pledging, reminiscing... To be honest, I have no interest in the content of their quarrel.)",(พวกเขากำลังกล่าวโทษ ปกป้อง สาบาน ให้คำมั่นสัญญา และรำลึกความหลังกันอย่างดุเดือด... พูดตามตรง ข้าไม่ได้สนใจเนื้อหาที่พวกเขาโต้เถียงกันเลย)
